voter_name,affiliation,forward,forward_2,center,guard,guard_2,forward_3,forward_4,center_2,guard_3,guard_4,forward_5,forward_6,center_3,guard_5,guard_6,year,award
Brent Barry,Turner,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Antetokounmpo, Giannis (Mil.)","Durant, Kevin (G.S.)","Gobert, Rudy (Utah)","Thomas, Isaiah (Bos.)","Curry, Stephen (G.S.)","Hayward, Gordon (Utah)","Butler, Jimmy (Chi.)","Gasol, Marc (Mem.)","DeRozan, DeMar (Tor.)","Wall, John (Was.)",2017,All-NBA
Brian Lewis,New York Post,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Gobert, Rudy (Utah)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Antetokounmpo, Giannis (Mil.)","Butler, Jimmy (Chi.)","Davis, Anthony (N.O.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Durant, Kevin (G.S.)","Green, Draymond (G.S.)","Gasol, Marc (Mem.)","Wall, John (Was.)","Paul, Chris (LA-C)",2017,All-NBA
Brian Mahoney,Associated Press,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Antetokounmpo, Giannis (Mil.)","George, Paul (Ind.)","Davis, Anthony (N.O.)","Thomas, Isaiah (Bos.)","Curry, Stephen (G.S.)","Butler, Jimmy (Chi.)","Durant, Kevin (G.S.)","Green, Draymond (G.S.)","DeRozan, DeMar (Tor.)","Wall, John (Was.)",2017,All-NBA
Brian Windhorst,ESPN.com,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Davis, Anthony (N.O.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Butler, Jimmy (Chi.)","Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Curry, Stephen (G.S.)","Green, Draymond (G.S.)","Durant, Kevin (G.S.)","Towns, Karl-Anthony (Min.)","Thomas, Isaiah (Bos.)","Wall, John (Was.)",2017,All-NBA
Calvin Watkins,ESPN.com,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Gobert, Rudy (Utah)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Thomas, Isaiah (Bos.)","Curry, Stephen (G.S.)","Green, Draymond (G.S.)","George, Paul (Ind.)","Cousins, DeMarcus (N.O.)","Wall, John (Was.)","Irving, Kyrie (Cle.)",2017,All-NBA
Charles Gardner,Milwaukee Journal-Sentinel,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Antetokounmpo, Giannis (Mil.)","Butler, Jimmy (Chi.)","Davis, Anthony (N.O.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Durant, Kevin (G.S.)","George, Paul (Ind.)","Whiteside, Hassan (Mia.)","DeRozan, DeMar (Tor.)","Wall, John (Was.)",2017,All-NBA
Chris Broussard,Fox Sports,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Towns, Karl-Anthony (Min.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Whiteside, Hassan (Mia.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Davis, Anthony (N.O.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","DeRozan, DeMar (Tor.)","Wall, John (Was.)",2017,All-NBA
Chris Webber,Turner,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Antetokounmpo, Giannis (Mil.)","Green, Draymond (G.S.)","Cousins, DeMarcus (N.O.)","DeRozan, DeMar (Tor.)","Thomas, Isaiah (Bos.)","Hayward, Gordon (Utah)","Millsap, Paul (Atl.)","Gobert, Rudy (Utah)","Irving, Kyrie (Cle.)","Curry, Stephen (G.S.)",2017,All-NBA
David Aldridge,Turner,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Durant, Kevin (G.S.)","George, Paul (Ind.)","Jordan, DeAndre (LA-C)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Antetokounmpo, Giannis (Mil.)","Green, Draymond (G.S.)","Davis, Anthony (N.O.)","DeRozan, DeMar (Tor.)","Wall, John (Was.)",2017,All-NBA
Davide Chinellato,LaGazetta Dello Sport,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Antetokounmpo, Giannis (Mil.)","Green, Draymond (G.S.)","Gasol, Marc (Mem.)","Thomas, Isaiah (Bos.)","Curry, Stephen (G.S.)","Hayward, Gordon (Utah)","Durant, Kevin (G.S.)","Towns, Karl-Anthony (Min.)","Wall, John (Was.)","DeRozan, DeMar (Tor.)",2017,All-NBA
Dennis Scott,Turner,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Gasol, Marc (Mem.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Durant, Kevin (G.S.)","Green, Draymond (G.S.)","Jordan, DeAndre (LA-C)","Thomas, Isaiah (Bos.)","Curry, Stephen (G.S.)","Hayward, Gordon (Utah)","Davis, Anthony (N.O.)","Cousins, DeMarcus (N.O.)","DeRozan, DeMar (Tor.)","Lillard, Damian (Por.)",2017,All-NBA
